ID,Parameter_ID,Value,Segments,Structure
lit-1_eye-1,1_eye,akis,ɐ kʲ ɪ s,VTVS
lit-2_ear-1,2_ear,ausis,ɒʊˑ sʲ ɪ s,VSVS
lit-3_nose-1,3_nose,nosis,n oː sʲ ɪ s,RVSVS
lit-4_mouth-1,4_mouth,burna,b ʊ r n ɑ,TVRRV
lit-5_tooth-1,5_tooth,dantis,d ɐ n tʲ ɪ s,TVRTVS
lit-6_tongue-1,6_tongue,liežuvis,lˠ i ə ʒ ʊ ʋʲ ɪ s,RVVSVRVS
lit-7_lip-1,7_lip,lūpa,lˠ uː p ɐ,RVTV
lit-8_cheek-1,8_cheek,žandas,ʒ aˑ n d ɐ s,SVRTVS
lit-8_cheek-2,8_cheek,skruostas,s k r u ə s t ɐ s,STRVVSTVS
lit-9_face-1,9_face,veidas,ʋ æˑ j ɪ d ɐ s,RVRVTVS
lit-10_forehead-1,10_forehead,kakta,k ɐ k t ɑ,TVTTV
lit-11_hair-1,11_hair,plaukai,p lˠ ɒʊˑ k ɐɪˑ,TRVTV
lit-12_moustache-1,12_moustache,ūsai,uː s ɐɪˑ,VSV
lit-13_beard-1,13_beard,barzda,b ɐ r z d ɑ,TVRSTV
lit-14_chin-1,14_chin,smakras,s m a k r ɐ s,SRVTRVS
lit-15_jaw-1,15_jaw,žandikaulis,ʒ ɐ n dʲ ɪ k ɒʊˑ lʲ ɪ s,SVRTVTVRVS
lit-16_throat-1,16_throat,gerklė,g ɛ r k lˠ eː,TVRTRV
lit-17_neck-1,17_neck,kaklas,k a k lˠ ɐ s,TVTRVS
lit-18_nape-1,18_nape,sprandas,s p r aˑ n d ɐ s,STRVRTVS
lit-19_head-1,19_head,galva,g ɐ lˠ ʋ ɑ,TVRRV
lit-20_back-1,20_back,nugara,n ʊ g ɐ r ɐ,RVTVRV
lit-21_belly-1,21_belly,pilvas,pʲ ɪ lˠˑ ʋ ɐ s,TVRRVS
lit-22_navel-1,22_navel,bamba,b aˑ m b ɐ,TVRTV
lit-23_bosom-1,23_bosom,krūtinė,k r uː tʲ ɪ n eː,TRVTVRV
lit-24_breast-1,24_breast,krūtis,k r uː tʲ ɪ s,TRVTVS
lit-25_shoulder-1,25_shoulder,petys,p ɛ t iː s,TVTVS
lit-26_arm-1,26_arm,ranka,r ɐ n k ɑ,RVRTV
lit-27_elbow-1,27_elbow,alkūnė,ɐ lˠ k uː n eː,VRTVRV
lit-28_hand-1,28_hand,ranka,r ɐ n k ɑ,RVRTV
lit-28_hand-2,28_hand,plaštaka,p lˠ a ʃ t ɐ k ɐ,TRVSTVTV
lit-29_palm-1,29_palm,delnas,d eˑ lˠ n ɐ s,TVRRVS
lit-29_palm-2,29_palm,plaštaka,p lˠ a ʃ t ɐ k ɐ,TRVSTVTV
lit-30_finger-1,30_finger,pirštas,pʲ ɪ rˑ ʃ t ɐ s,TVRSTVS
lit-31_fingernail-1,31_fingernail,nagas,n a g ɐ s,RVTVS
lit-32_nail-1,32_nail,nagas,n a g ɐ s,RVTVS
lit-33_toe-1,33_toe,pirštas,pʲ ɪ rˑ ʃ t ɐ s,TVRSTVS
lit-34_foot-1,34_foot,pėda,p eː d ɑ,TVTV
lit-35_heel-1,35_heel,kulnas,k ʊ lˠˑ n ɐ s,TVRRVS
lit-36_knee-1,36_knee,kelis,k ɛ lʲ ɪ s,TVRVS
lit-37_thigh-1,37_thigh,kulšis,k ʊ lˠ ʃʲ ɪ s,TVRSVS
lit-37_thigh-2,37_thigh,šlaunis,ʃ lˠ ɒʊˑ nʲ ɪ s,SRVRVS
lit-38_leg-1,38_leg,koja,k oː j ɐ,TVRV
lit-39_body-1,39_body,kūnas,k uː n ɐ s,TVRVS
lit-40_skin-1,40_skin,oda,oː d ɐ,VTV
lit-41_blood-1,41_blood,kraujas,k r ɒʊˑ j ɐ s,TRVRVS
lit-42_vein-1,42_vein,kraujagyslė,k r ɒʊˑ j a gʲ iː s lˠ eː,TRVRVXVSRV
lit-43_sinew-1,43_sinew,sausgyslė,s ɒʊˑ s gʲ iː s lˠ eː,SVSXVSRV
lit-44_bone-1,44_bone,kaulas,k aˑ ʊ lˠ ɐ s,TVVRVS
lit-45_brain-1,45_brain,smegenys,s m ɛ g ɛ nʲ iː s,SRVTVRVS
lit-46_heart-1,46_heart,širdis,ʃʲ ɪ r dʲ ɪ s,SVRTVS
lit-47_stomach-1,47_stomach,skrandis,s k r ɐ nˑ dʲ ɪ s,STRVRTVS
lit-48_liver-1,48_liver,kepenys,k ɛ p ɛ nʲ iː s,TVTVRVS
lit-49_breath-1,49_breath,kvapas,k ʋ a p ɐ s,TRVTVS
lit-50_hunger-1,50_hunger,badas,b a d ɐ s,TVTVS
lit-50_hunger-2,50_hunger,alkis,ɐ lˠˑ kʲ ɪ s,VRTVS
lit-51_tear-1,51_tear,ašara,a ʃ ɐ r ɐ,VSVRV
lit-52_flavour-1,52_flavour,skonis,s k oː nʲ ɪ s,STVRVS
lit-53_odour-1,53_odour,kvapas,k ʋ a p ɐ s,TRVTVS
lit-54_sleep-1,54_sleep,miegas,m i ə g ɐ s,RVVTVS
lit-55_dream-1,55_dream,sapnas,s a p n ɐ s,SVTRVS
lit-56_sky-1,56_sky,dangus,d ɐ n g ʊ s,TVRTVS
lit-57_sun-1,57_sun,saulė,s aˑ ʊ lˠ eː,SVVRV
lit-58_moon-1,58_moon,mėnulis,m eː n ʊ lʲ ɪ s,RVRVRVS
lit-59_star-1,59_star,žvaigždė,ʒ ʋ ɐɪˑ g ʒ d eː,SRVTSTV
lit-60_air-1,60_air,oras,oː r ɐ s,VRVS
lit-61_wind-1,61_wind,vėjas,ʋ eː j ɐ s,RVRVS
lit-62_wave-1,62_wave,banga,b ɐ n g ɑ,TVRTV
lit-62_wave-2,62_wave,vilnis,ʋʲ ɪ lˠ nʲ ɪ s,RVRRVS
lit-63_water-1,63_water,vanduo,ʋ ɐ n d uə,RVRTV
lit-64_stone-1,64_stone,akmuo,ɐ k m uə,VTRV
lit-65_ground-1,65_ground,žemė,ʒ ɛ m eː,SVRV
lit-65_ground-2,65_ground,dugnas,d ʊ g n ɐ s,TVTRVS
lit-66_earth-1,66_earth,žemė,ʒ ɛ m eː,SVRV
lit-67_dust-1,67_dust,dulkės,d ʊ lˠ k eː s,TVRTVS
lit-68_smoke-1,68_smoke,dūmai,d uː m ɐɪˑ,TVRV
lit-69_spark-1,69_spark,kibirkštis,kʲ ɪ bʲ ɪ r k ʃ tʲ ɪ s,TVTVRTSTVS
lit-70_fire-1,70_fire,ugnis,ʊ g nʲ ɪ s,VTRVS
lit-71_light-1,71_light,šviesa,ʃ ʋ i ə s ɑ,SRVVSV
lit-72_shadow-1,72_shadow,paūksmė,p ɐ uː k s m eː,TVVTSRV
lit-73_weather-1,73_weather,oras,oː r ɐ s,VRVS
lit-74_fog-1,74_fog,migla,mʲ ɪ g lˠ ɑ,RVTRV
lit-74_fog-2,74_fog,rūkas,r uː k ɐ s,RVTVS
lit-75_cloud-1,75_cloud,debesis,d ɛ b ɛ sʲ ɪ s,TVTVSVS
lit-76_rain-1,76_rain,lietus,lˠ i ə t ʊ s,RVVTVS
lit-77_snow-1,77_snow,sniegas,s n i ə g ɐ s,SRVVTVS
lit-78_ice-1,78_ice,ledas,lˠ ɛ d ɐ s,RVTVS
lit-79_frost-1,79_frost,šalna,ʃ ɐ lˠ n ɑ,SVRRV
lit-80_chill-1,80_chill,šaltis,ʃ ɐ lˠˑ tʲ ɪ s,SVRTVS
lit-81_heat-1,81_heat,karštis,k ɐ rˑ ʃ tʲ ɪ s,TVRSTVS
lit-82_hoarfrost-1,82_hoarfrost,šerkšnas,ʃ ɛ rˑ k ʃ n ɐ s,SVRTSRVS
lit-83_rainbow-1,83_rainbow,vaivorykštė,ʋ ɐɪˑ ʋ oː rʲ iː k ʃ t eː,RVRVRVTSTV
lit-84_thunder-1,84_thunder,perkūnas,p ɛ r k uː n ɐ s,TVRTVRVS
lit-84_thunder-2,84_thunder,griaustinis,g rʲ ɛʊˑ s tʲ ɪ nʲ ɪ s,TRVSTVRVS
lit-85_current-1,85_current,tėkmė,t eː k m eː,TVTRV
lit-86_drop-1,86_drop,lašas,lˠ a ʃ ɐ s,RVSVS
lit-87_foam-1,87_foam,putos,p ʊ t o s,TVTVS
lit-88_dirt-1,88_dirt,purvas,p ʊ rˑ ʋ ɐ s,TVRRVS
lit-89_lake-1,89_lake,ežeras,ɛ ʒ ɛ r ɐ s,VSVRVS
lit-90_swamp-1,90_swamp,klampynė,k lˠ ɐ m p iː n eː,TRVRTVRV
lit-90_swamp-2,90_swamp,liūnas,lʲ ɪ uː n ɐ s,RVVRVS
lit-91_moor-1,91_moor,pelkė,p eˑ lˠ k eː,TVRTV
lit-92_meadow-1,92_meadow,pieva,p i ə ʋ ɐ,TVVRV
lit-93_forest-1,93_forest,miškas,mʲ ɪ ʃ k ɐ s,RVSTVS
lit-94_hill-1,94_hill,kalva,k ɐ lˠ ʋ ɑ,TVRRV
lit-95_elevation-1,95_elevation,kauburys,k ɒʊˑ b ʊ r iː s,TVTVRVS
lit-96_mountain-1,96_mountain,kalnas,k aˑ lˠ n ɐ s,TVRRVS
lit-97_summit-1,97_summit,viršūnė,ʋʲ ɪ r ʃ uː n eː,RVRSVRV
lit-98_cave-1,98_cave,ola,o lˠ ɑ,VRV
lit-99_slope-1,99_slope,šlaitas,ʃ lˠ ɐɪˑ t ɐ s,SRVTVS
lit-99_slope-2,99_slope,nuokalnė,n u ə k ɐ lˠ n eː,RVVTVRRV
lit-100_source-1,100_source,versmė,ʋ ɛ r s m eː,RVRSRV
lit-100_source-2,100_source,šaltinis,ʃ ɐ lˠ tʲ ɪ nʲ ɪ s,SVRTVRVS
lit-101_brook-1,101_brook,upelis,ʊ p ɛ lʲ ɪ s,VTVRVS
lit-102_river-1,102_river,upė,ʊ p eː,VTV
lit-103_shore-1,103_shore,krantas,k r ɐ nˑ t ɐ s,TRVRTVS
lit-104_coast-1,104_coast,pajūris,p ɐ j uː rʲ ɪ s,TVRVRVS
lit-105_land-1,105_land,sausuma,s ɒʊˑ s ʊ m ɑ,SVSVRV
lit-106_sea-1,106_sea,jūra,j uː r ɐ,RVRV
lit-107_covebay-1,107_covebay,įlanka,j iː lˠ ɐ n k ɐ,RVRVRTV
lit-107_covebay-2,107_covebay,užutekis,ʊ ʒ ʊ t ɛ kʲ ɪ s,VSVTVTVS
lit-108_island-1,108_island,sala,s ɐ lˠ ɑ,SVRV
lit-109_flower-1,109_flower,gėlė,g eː lˠ eː,TVRV
lit-110_grass-1,110_grass,žolė,ʒ o lˠ eː,SVRV
lit-111_root-1,111_root,šaknis,ʃ ɐ k nʲ ɪ s,SVTRVS
lit-112_tree-1,112_tree,medis,m ɛ dʲ ɪ s,RVTVS
lit-113_trunk-1,113_trunk,kamienas,k ɐ m i ə n ɐ s,TVRVVRVS
lit-114_bark-1,114_bark,žievė,ʒ i ə ʋ eː,SVVRV
lit-115_limb-1,115_limb,šaka,ʃ ɐ k ɑ,SVTV
lit-116_twig-1,116_twig,šakelė,ʃ ɐ k ɛ lˠ eː,SVTVRV
lit-117_leaf-1,117_leaf,lapas,lˠ a p ɐ s,RVTVS
lit-118_birch-1,118_birch,beržas,b eˑ r ʒ ɐ s,TVRSVS
lit-119_pine-1,119_pine,pušis,p ʊ ʃʲ ɪ s,TVSVS
lit-120_willow-1,120_willow,karklas,k ɐ rˑ k lˠ ɐ s,TVRTRVS
lit-121_fir-1,121_fir,eglė,ɛ g lˠ eː,VTRV
lit-121_fir-2,121_fir,kėnis,k eː nʲ ɪ s,TVRVS
lit-122_horn-1,122_horn,ragas,r a g ɐ s,RVTVS
lit-123_feather-1,123_feather,plunksna,p lˠ ʊ n k s n ɐ,TRVRTSRV
lit-124_fur-1,124_fur,kailis,k aˑ j ɪ lʲ ɪ s,TVRVRVS
lit-125_wing-1,125_wing,sparnas,s p ɐ rˑ n ɐ s,STVRRVS
lit-126_claw-1,126_claw,kanopa,k ɐ n oː p ɐ,TVRVTV
lit-127_paw-1,127_paw,nagas,n a g ɐ s,RVTVS
lit-128_tail-1,128_tail,uodega,uə d ɛ g ɑ,VTVTV
lit-129_egg-1,129_egg,kiaušinis,kʲ ɛʊˑ ʃʲ ɪ nʲ ɪ s,TVSVRVS
lit-130_nest-1,130_nest,gūžta,g uː ʒ t ɑ,TVSTV
lit-130_nest-2,130_nest,lizdas,lʲ ɪ z d ɐ s,RVSTVS
lit-131_lair-1,131_lair,ola,o lˠ ɑ,VRV
lit-132_animal-1,132_animal,gyvūnas,gʲ iː ʋ uː n ɐ s,XVRVRVS
lit-133_flock-1,133_flock,banda,b ɐ n d ɑ,TVRTV
lit-133_flock-2,133_flock,kaimenė,k ɐɪˑ m ɛ n eː,TVRVRV
lit-134_cow-1,134_cow,karvė,k aˑ r ʋ eː,TVRRV
lit-135_bull-1,135_bull,bulius,b ʊ lʲ ɪ ʊ s,TVRVVS
lit-136_horse-1,136_horse,arklys,ɐ r k lˠ iː s,VRTRVS
lit-137_sheep-1,137_sheep,avis,ɐ ʋʲ ɪ s,VRVS
lit-138_pig-1,138_pig,kiaulė,kʲ ɛʊˑ lˠ eː,TVRV
lit-139_dog-1,139_dog,šuo,ʃ uə,SV
lit-140_cat-1,140_cat,katė,k ɐ t eː,TVTV
lit-141_bear-1,141_bear,lokys,lˠ o k iː s,RVTVS
lit-142_squirrel-1,142_squirrel,voveraitė,ʋ o ʋ ɛ r aˑ j ɪ t eː,RVRVRVRVTV
lit-143_elk-1,143_elk,briedis,b r i ə dʲ ɪ s,TRVVTVS
lit-144_fox-1,144_fox,lapė,lˠ a p eː,RVTV
lit-145_hare-1,145_hare,kiškas,kʲ ɪ ʃ k ɐ s,TVSTVS
lit-146_mouse-1,146_mouse,pelė,p ɛ lˠ eː,TVRV
lit-147_wolf-1,147_wolf,vilkas,ʋʲ ɪ lˠˑ k ɐ s,RVRTVS
lit-148_bird-1,148_bird,paukštis,p ɒʊˑ k ʃ tʲ ɪ s,TVTSTVS
lit-149_swarm-1,149_swarm,spiečius,s p i ə tʃʲ ɪ ʊ s,STVVXVVS
lit-150_chicken-1,150_chicken,višta,ʋʲ ɪ ʃ t ɑ,RVSTV
lit-151_cock-1,151_cock,gaidys,g ɐɪˑ d iː s,TVTVS
lit-152_goose-1,152_goose,žąsis,ʒ ɑː sʲ ɪ s,SVSVS
lit-153_eagle-1,153_eagle,erelis,ɛ r ɛ lʲ ɪ s,VRVRVS
lit-154_duck-1,154_duck,antis,aˑ n tʲ ɪ s,VRTVS
lit-155_owl-1,155_owl,pelėda,p ɛ lˠ eː d ɐ,TVRVTV
lit-156_crane-1,156_crane,gervė,g eˑ r ʋ eː,TVRRV
lit-157_crow-1,157_crow,varna,ʋ aˑ r n ɐ,RVRRV
lit-158_cuckoo-1,158_cuckoo,gegužė,g ɛ g ʊ ʒ eː,TVTVSV
lit-159_swan-1,159_swan,gulbė,g ʊ lˠˑ b eː,TVRTV
lit-160_fish-1,160_fish,žuvis,ʒ ʊ ʋʲ ɪ s,SVRVS
lit-161_perch-1,161_perch,ešerys,ɛ ʃ ɛ r iː s,VSVRVS
lit-162_pike-1,162_pike,lydeka,lʲ iː d ɛ k ɑ,RVTVTV
lit-163_snake-1,163_snake,gyvatė,gʲ iː ʋ a t eː,XVRVTV
lit-164_worm-1,164_worm,kirmėlė,kʲ ɪ r m eː lˠ eː,TVRRVRV
lit-165_spider-1,165_spider,voras,ʋ oː r ɐ s,RVRVS
lit-166_ant-1,166_ant,skruzdė,s k r ʊ z d eː,STRVSTV
lit-167_louse-1,167_louse,utėlė,ʊ t eː lˠ eː,VTVRV
lit-168_gnat-1,168_gnat,uodas,u ə d ɐ s,VVTVS
lit-169_fly-1,169_fly,musė,m ʊ s eː,RVSV
lit-170_butterfly-1,170_butterfly,drugys,d r ʊ g iː s,TRVTVS
lit-170_butterfly-2,170_butterfly,peteliškė,p ɛ t ɛ lʲ ɪ ʃ k eː,TVTVRVSTV
lit-171_berry-1,171_berry,uoga,u ə g ɐ,VVTV
lit-172_apple-1,172_apple,obuolys,o b uə lˠ iː s,VTVRVS
lit-173_mushroom-1,173_mushroom,grybas,g r iː b ɐ s,TRVTVS
lit-174_onion-1,174_onion,svogūnas,s ʋ o g uː n ɐ s,SRVTVRVS
lit-175_seed-1,175_seed,sėkla,s eː k lˠ ɐ,SVTRV
lit-176_grain-1,176_grain,grūdai,g r uː d ɐɪˑ,TRVTV
lit-177_hay-1,177_hay,šienas,ʃ i ə n ɐ s,SVVRVS
lit-178_peelhusk-1,178_peelhusk,žievelė,ʒ i ə ʋ ɛ lˠ eː,SVVRVRV
lit-179_pit-1,179_pit,duobė,d uə b eː,TVTV
lit-180_trap-1,180_trap,pinklės,pʲ ɪ n k lˠ eː s,TVRTRVS
lit-180_trap-2,180_trap,žabangai,ʒ ɐ b aˑ n g ɐɪˑ,SVTVRTV
lit-181_noose-1,181_noose,kilpa,kʲ ɪ lˠ p ɐ,TVRTV
lit-182_track-1,182_track,vėžė,ʋ eː ʒ eː,RVSV
lit-182_track-2,182_track,pėdos,p eː d o s,TVTVS
lit-182_track-3,182_track,pėdsakas,p eː d s ɐ k ɐ s,TVTSVTVS
lit-183_ash-1,183_ash,pelenai,p ɛ lˠ ɛ n ɐɪˑ,TVRVRV
lit-184_filth-1,184_filth,purvas,p ʊ rˑ ʋ ɐ s,TVRRVS
lit-185_iron-1,185_iron,geležis,g ɛ lˠ ɛ ʒʲ ɪ s,TVRVSVS
lit-186_gold-1,186_gold,auksas,aˑ ʊ k s ɐ s,VVTSVS
lit-187_silver-1,187_silver,sidabras,sʲ ɪ d a b r ɐ s,SVTVTRVS
lit-188_coal-1,188_coal,anglis,ɐ n g lʲ ɪ s,VRTRVS
lit-189_glass-1,189_glass,stiklas,s tʲ ɪ k lˠ ɐ s,STVTRVS
lit-190_clay-1,190_clay,molis,m oː lʲ ɪ s,RVRVS
lit-191_sand-1,191_sand,smėlis,s m eː lʲ ɪ s,SRVRVS
lit-192_human-1,192_human,žmogus,ʒ m o g ʊ s,SRVTVS
lit-193_man-1,193_man,vyras,ʋ iː r ɐ s,RVRVS
lit-193_man-2,193_man,vyriškis,ʋʲ iː rʲ ɪ ʃ kʲ ɪ s,RVRVSTVS
lit-194_woman-1,194_woman,moteris,m oː t ɛ rʲ ɪ s,RVTVRVS
lit-195_child-1,195_child,vaikas,ʋ ɐɪˑ k ɐ s,RVTVS
lit-196_boy-1,196_boy,vaikinas,ʋ ɐɪˑ kʲ ɪ n ɐ s,RVTVRVS
lit-196_boy-2,196_boy,berniukas,b ɛ r nʲ ɪ ʊ k ɐ s,TVRRVVTVS
lit-197_girl-1,197_girl,mergytė,m ɛ r g iː t eː,RVRTVTV
lit-197_girl-2,197_girl,mergaitė,m ɛ r g aˑ j ɪ t eː,RVRTVRVTV
lit-198_family-1,198_family,šeima,ʃ ɛɪˑ m ɑ,SVRV
lit-199_grandfather-1,199_grandfather,senelis,s ɛ n ɛ lʲ ɪ s,SVRVRVS
lit-200_grandmother-1,200_grandmother,senelė,s ɛ n ɛ lˠ eː,SVRVRV
lit-201_parents-1,201_parents,tėvai,t eː ʋ ɐɪˑ,TVRV
lit-202_father-1,202_father,tėvas,t eː ʋ ɐ s,TVRVS
lit-203_mother-1,203_mother,motina,m oː tʲ ɪ n ɐ,RVTVRV
lit-204_son-1,204_son,sūnus,s uː n ʊ s,SVRVS
lit-205_daughter-1,205_daughter,duktė,d ʊ k t eː,TVTTV
lit-206_brother-1,206_brother,brolis,b r oː lʲ ɪ s,TRVRVS
lit-207_sister-1,207_sister,sesuo,s ɛ s uə,SVSV
lit-208_uncle-1,208_uncle,dėdė,d eː d eː,TVTV
lit-209_aunt-1,209_aunt,teta,t ɛ t ɑ,TVTV
lit-210_husband-1,210_husband,vyras,ʋ iː r ɐ s,RVRVS
lit-211_wife-1,211_wife,žmona,ʒ m o n ɑ,SRVRV
lit-212_joy-1,212_joy,džiaugsmas,d ʒʲ ɛʊˑ g s m ɐ s,TSVTSRVS
lit-213_laughter-1,213_laughter,juokas,j uə k ɐ s,RVTVS
lit-214_happiness-1,214_happiness,laimė,lˠ aˑ j ɪ m eː,RVRVRV
lit-215_grief-1,215_grief,vargas,ʋ ɐ rˑ g ɐ s,RVRTVS
lit-215_grief-2,215_grief,rūpestis,r uː p ɛ s tʲ ɪ s,RVTVSTVS
lit-216_wish-1,216_wish,troškimas,t r o ʃ kʲ ɪ m ɐ s,TRVSTVRVS
lit-216_wish-2,216_wish,pageidavimas,p ɐ g ɛɪˑ d a ʋʲ ɪ m ɐ s,TVTVTVRVRVS
lit-217_desire-1,217_desire,noras,n oː r ɐ s,RVRVS
lit-217_desire-2,217_desire,geidulys,g ɛɪˑ d ʊ lˠ iː s,TVTVRVS
lit-218_spirit-1,218_spirit,dvasia,d ʋ ɐ sʲ ɛ,TRVSV
lit-219_thought-1,219_thought,mintis,mʲ ɪ n tʲ ɪ s,RVRTVS
lit-220_memory-1,220_memory,atmintis,ɐ t mʲ ɪ n tʲ ɪ s,VTRVRTVS
lit-221_mind-1,221_mind,protas,p r oː t ɐ s,TRVTVS
lit-222_meaning-1,222_meaning,prasmė,p r ɐ s m eː,TRVSRV
lit-223_reason-1,223_reason,priežastis,p r i ə ʒ ɐ s tʲ ɪ s,TRVVSVSTVS
lit-224_truth-1,224_truth,tiesa,t i ə s ɑ,TVVSV
lit-224_truth-2,224_truth,teisybė,t ɛɪˑ s iː b eː,TVSVTV
lit-225_talk-1,225_talk,pokalbis,p oː k ɐ lˠ bʲ ɪ s,TVTVRTVS
lit-226_fairytale-1,226_fairytale,pasaka,p a s ɐ k ɐ,TVSVTV
lit-227_story-1,227_story,apsakymas,ɐ p s a kʲ iː m ɐ s,VTSVTVRVS
lit-227_story-2,227_story,pasakojimas,p a s ɐ k o j ɪ m ɐ s,TVSVTVRVRVS
lit-228_message-1,228_message,žinia,ʒʲ ɪ nʲ ɛ,SVRV
lit-229_news-1,229_news,naujiena,n ɒʊˑ j i ə n ɐ,RVRVVRV
lit-230_name-1,230_name,vardas,ʋ ɐ rˑ d ɐ s,RVRTVS
lit-231_puzzle-1,231_puzzle,mįslė,mʲ iː s lˠ eː,RVSRV
lit-232_speech-1,232_speech,kalba,k ɐ lˠ b ɑ,TVRTV
lit-233_language-1,233_language,kalba,k ɐ lˠ b ɑ,TVRTV
lit-234_voice-1,234_voice,balsas,b ɐ lˠˑ s ɐ s,TVRSVS
lit-235_word-1,235_word,žodis,ʒ oː dʲ ɪ s,SVTVS
lit-236_sign-1,236_sign,žymė,ʒʲ iː m eː,SVRV
lit-236_sign-2,236_sign,ženklas,ʒ eˑ n k lˠ ɐ s,SVRTRVS
lit-237_call-1,237_call,šauksmas,ʃ ɒʊˑ k s m ɐ s,SVTSRVS
lit-238_noise-1,238_noise,triukšmas,t rʲ ɪ ʊ k ʃ m ɐ s,TRVVTSRVS
lit-239_sound-1,239_sound,garsas,g ɐ rˑ s ɐ s,TVRSVS
lit-240_tone-1,240_tone,tonas,t ò n ɐ s,TVRVS
lit-240_tone-2,240_tone,garsas,g ɐ rˑ s ɐ s,TVRSVS
lit-241_song-1,241_song,daina,d ɐɪˑ n ɑ,TVRV
lit-241_song-2,241_song,giesmė,g i ə s m eː,TVVSRV
lit-242_calm-1,242_calm,ramybė,r ɐ m iː b eː,RVRVTV
lit-242_calm-2,242_calm,ramumas,r ɐ m ʊ m ɐ s,RVRVRVS
lit-243_people-1,243_people,žmonės,ʒ m oː n eː s,SRVRVS
lit-244_nation-1,244_nation,tauta,t ɒʊˑ t ɑ,TVTV
lit-245_work-1,245_work,darbas,d aˑ r b ɐ s,TVRTVS
lit-245_work-2,245_work,triūsas,t rʲ ɪ uː s ɐ s,TRVVSVS
lit-246_guest-1,246_guest,svečias,s ʋ ɛ tʃʲ ɛ s,SRVXVS
